cliente_id,nombre,email,telefono,estado,fecha_registro,edad,genero,codigo_postal
1.0,Esteban Acevedo Gil,natividadojeda@example.org,03343814154,Jalisco,2023-07-10,-5.0,F,
2.0,Emilio Salcedo Delgadillo,jonasalvarado@example.com,+94(8)2780260686,Nuevo León,2025-07-26,65.0,,56254-6018
3.0,Noelia Amalia Dueñas,esmeraldalovato@example.com,130-087-9292x22539,Guanajuato,2023-11-21,20.0,M,
4.0,Jos Aranda Briseño,dde-la-cruz@example.org,(973)374-6563x967,Puebla,2025-11-03,50.0,,
5.0,Srita. Citlali Alarcón,mirandamaximiliano@example.org,427.529.8446x3532,Yucatán,2025-09-30,,,
6.0,Ana María Amalia Yáñez,armandovalles@example.org,892.830.3716x22901,CDMX,2022-07-23,,,
7.0,Martha Alicia Samaniego Feliciano,zcarrero@example.org,(115)962-8856,Querétaro,2026-03-03,,Otro,15377
8.0,Esther Escalante,bianca08@example.net,(178)732-8945,Jalisco,2023-06-09,42.0,Otro,
9.0,Rufino Almanza Mojica,angelicasantiago@example.org,717.580.7052,Querétaro,2024-01-12,69.0,,97396
10.0,Ing. Eugenio Guardado,georginalaboy@example.org,1-061-042-4646,Guanajuato,2024-06-02,-5.0,,
11.0,Sofía Armas,tnoriega@example.net,+61(9)4401047847,Puebla,2023-12-05,63.0,M,
12.0,Dra. Inés Barragán,rebeca91@example.com,535-332-3900x680,Querétaro,2023-12-17,,M,ABCDE
13.0,Horacio Lucio León,ruizjudith@example.net,333.134.6843x31148,Querétaro,2023-06-16,-5.0,F,
14.0,Jerónimo Rodríguez,zvasquez@example.org,(485)347-6089x153,Estado de México,2024-05-09,-5.0,M,
15.0,Verónica Silvia Rivero,zroldan@example.net,+77(6)3432515175,Yucatán,2022-12-12,,F,ABCDE
16.0,Arturo Serafín Quiñones Cabán,ucintron@example.org,(498)785-5395x8693,Guanajuato,2022-03-07,,Otro,93883-9873
17.0,Lic. Wendolin Saldivar,aurelio31@example.org,+07(8)9340198971,Puebla,2023-10-02,70.0,Otro,ABCDE
18.0,Ing. Héctor Pedraza,omarzayas@example.net,(391)578-8176x519,Querétaro,2024-12-19,,,
19.0,Dra. Elvia Crespo,smesa@example.org,05707679202,Puebla,2023-11-27,999.0,,ABCDE
20.0,Marco Antonio Rubén Zambrano,correo_mal_formado,301.053.1821,Nuevo León,2026-05-30,,F,
21.0,Linda Fajardo,jaimeantonia@example.org,005.734.6406x83511,Guanajuato,2021-10-07,999.0,Otro,
22.0,Yolanda Arreola Trujillo,krangel@example.com,193-333-4665x5457,Nuevo León,2026-02-12,999.0,M,80755-9423
23.0,Marcela Yuridia Candelaria,gerardopina@example.com,819-952-2152x49082,Jalisco,2026-05-29,,,97351
24.0,Carolina Claudia Barela,pinedanadia@example.org,796-380-8675,Guanajuato,2022-10-01,999.0,,
25.0,Pamela Olivo Bonilla,vanesaquesada@example.com,987.665.7026,Yucatán,2023-07-04,73.0,M,
26.0,Jacobo Luis Miguel de la Garza Carrión,esquibelcornelio@example.org,1-739-077-2909x769,Estado de México,2026-01-29,-5.0,,
27.0,Antonia Alvarez Pizarro,fabiolaaviles@example.org,110-368-7780,Veracruz,2025-06-30,-5.0,,
28.0,Hermelinda Venegas,almaaguilar@example.net,(823)767-2850x5898,Yucatán,2022-03-14,-5.0,,
29.0,Eduardo Verduzco,nadia22@example.net,035.935.8117x019,Nuevo León,2025-02-17,,,04005-0509
30.0,Victoria Escobar,oscarorta@example.net,802.274.9812x7326,Estado de México,2024-06-29,49.0,M,
31.0,Miguel Bruno Cadena,anelalarcon@example.com,(757)029-5756,Querétaro,2025-10-26,33.0,F,82439-7466
